cve,epss,ranking_epss
CVE-2025-49826,0.00021,0.03895
CVE-2019-10757,0.00281,0.5115
CVE-2022-41919,0.00065,0.20766
CVE-2016-10539,0.00328,0.55141
CVE-2020-19660,0.00073,0.22895
CVE-2025-27597,0.00338,0.5603
CVE-2023-26122,0.02885,0.85817
CVE-2023-32314,0.69492,0.98615
CVE-2017-16013,0.00334,0.55737
CVE-2025-29927,0.92084,0.99697
CVE-2019-10752,0.00427,0.61693
CVE-2021-23472,0.00577,0.67878
CVE-2023-7078,0.00046,0.14009
CVE-2016-10540,0.00435,0.6216
CVE-2018-3774,0.00971,0.75846
CVE-2023-34234,0.00081,0.24797
CVE-2024-43788,0.00179,0.39951
CVE-2025-59526,0.00062,0.19714
CVE-2025-49223,0.00084,0.25628
CVE-2025-27789,0.0005,0.15599
CVE-2021-23413,0.00235,0.46373
CVE-2025-54590,0.00055,0.17451
CVE-2020-7645,0.00584,0.68116
CVE-2020-36632,0.00481,0.64269
CVE-2025-55305,5e-05,0.00238
CVE-2018-14731,0.00099,0.28217
CVE-2025-23061,0.68408,0.98571
CVE-2024-38356,0.00687,0.70898
CVE-2018-7408,0.00042,0.12261
CVE-2023-39584,0.03006,0.86087
CVE-2020-1920,0.00445,0.62635
CVE-2020-28478,0.00627,0.69355
CVE-2021-4264,0.00214,0.44046
CVE-2024-35255,0.00295,0.52421
CVE-2024-4128,0.0005,0.15265
CVE-2023-22578,0.00099,0.28198
CVE-2019-1010266,0.00196,0.41915
CVE-2020-7769,0.00594,0.68377
CVE-2020-15366,0.00331,0.5549
CVE-2020-7778,0.01103,0.77345
CVE-2022-21681,0.00483,0.64401
CVE-2019-10748,0.00427,0.61693
CVE-2021-41183,0.02663,0.85262
CVE-2017-1000427,0.00284,0.51477
CVE-2020-26870,0.0029,0.52106
CVE-2025-57822,0.05854,0.90199
CVE-2025-32395,0.0002,0.03819
CVE-2022-36313,0.00102,0.2876
CVE-2021-24033,0.01439,0.80065
CVE-2025-49005,0.00052,0.1605
CVE-2015-9241,0.00346,0.56593
CVE-2025-25290,0.00273,0.5056
